seqgen12,pstatabb,pname,orispl,genid,numblr,genstat,prmvr,fuelg1,namepcap,cfact,genntan,genntoz,generrc,genyronl,notes
2092,CA,Donnells,415,H1,0,OP,HY,WAT,72,0.325057078,205020.0,0.0,F923NONK,1957,
2114,CA,Drum 2,236,5,0,OP,HY,WAT,53.1,0.584214758,271751.0,0.0,F923NONK,1965,
2117,CA,Dutch Flat,237,1,0,OP,HY,WAT,22,0.545324824,105095.0,0.0,F923NONK,1943,
2118,CA,Dutch Flat 2,413,3P,0,OP,HY,WAT,27.3,0.187273153,44786.0,0.0,F923NONK,1965,
2119,CA,Dutch Wind Energy,57301,DEC,0,OP,WT,WND,8,0.161886416,11345.0,0.0,F923NONK,1994,
2122,CA,Dynegy Morro Bay LLC,259,3,1,OP,ST,NG,359,0.037024141,116435.0,0.0,F923ST,1962,
2123,CA,Dynegy Morro Bay LLC,259,4,1,OP,ST,NG,359,0.028141972,88502.0,0.0,F923ST,1963,
2124,CA,Dynegy Moss Landing Power Plant,260,6,1,OP,ST,NG,702,0.050473858,310390.0,0.0,F923ST,1967,
2125,CA,Dynegy Moss Landing Power Plant,260,7,1,OP,ST,NG,702,0.045272314,278403.0,0.0,F923ST,1968,
2135,CA,E F Oxnard Energy Facility,10776,GTG,4,OP,GT,NG,48.5,0.406164384,172563.0,0.0,F923NONK,1990,
2136,CA,East Highline,586,1,0,OP,HY,WAT,2.4,0.016695205,351.0,0.0,F923NONK,1984,
2137,CA,East Portal Generator,50375,GEN1,0,OP,HY,WAT,1.2,0.591990107,6223.0,0.0,F923NONK,1987,
2138,CA,East Third Street Power Plant,10367,GEN1,1,RE,ST,PC,20.5,0.053981512,9694.0,0.0,F923ST,1990,
2139,CA,East Winds Project,50820,GEN1,0,OP,WT,WND,4.2,0.411937378,15156.0,0.0,F923NONK,1983,
2140,CA,EDF Renewable Windfarm V Inc,54453,GEN2,0,OP,WT,WND,60,0.084370244,44345.0,0.0,F923NONK,1990,
2152,CA,Eel River Power,50049,GEN1,3,OP,ST,WDS,12.5,0.838438356,91809.0,0.0,F923ST,1988,
2153,CA,Eel River Power,50049,GEN2,3,OP,ST,WDS,12.5,0.556319635,60917.0,0.0,F923ST,1988,
2154,CA,Eel River Power,50049,GEN3,1,OP,ST,WDS,7.5,0.104764079,6883.0,0.0,F923ST,1938,
2155,CA,El Cajon,301,ENCI,0,SB,GT,NG,18,0.019082953,3009.0,0.0,F923NONK,1968,
2156,CA,El Cajon Energy Center,57001,GEN1,0,OP,GT,NG,49.9,0.09933337,43421.0,0.0,F923NONK,2010,
2157,CA,El Centro,389,2,1,OP,CA,NG,34.5,0.606981669,183442.0,0.0,F923ST,1952,
2160,CA,El Centro,389,30,2,OP,CA,NG,65.9,0.081550848,47078.0,0.0,F923ST,2012,
2163,CA,El Centro,389,4,1,OP,ST,NG,81.6,0.225993822,161544.0,0.0,F923ST,1968,
2166,CA,El Nido Facility,56707,AMPC,1,OP,ST,WDS,12.5,0.518347032,56759.0,0.0,F923ST,2008,
