seqgen12,pstatabb,pname,orispl,genid,numblr,genstat,prmvr,fuelg1,namepcap,cfact,genntan,genntoz,generrc,genyronl,notes
6910,IA,Summit Lake,1206,3,1,OP,CA,NG,7.5,0.018097412,1189.0,0.0,F923ST,1957,
6920,IA,Sutherland,1077,1,1,OP,ST,NG,37.5,0.165165906,54257.0,0.0,F923ST,1955,
6922,IA,Sutherland,1077,3,1,OP,ST,NG,81.6,0.236039764,168725.0,0.0,F923ST,1961,
6932,IA,Top of Iowa Windfarm,55804,NM,0,OP,WT,WND,80,0.242788242,170146.0,0.0,F923NONK,2001,
6933,IA,Top of Iowa Windfarm III,56386,TOI3,0,OP,WT,WND,29.7,0.284938425,74133.0,0.0,F923NONK,2008,
6942,IA,University of Iowa Main Power Plant,54775,GEN1,5,OP,ST,BIT,3,0.501141553,13170.0,0.0,F923ST,1947,
6944,IA,University of Iowa Main Power Plant,54775,GEN2,5,OP,ST,BIT,3,0.672945205,17685.0,0.0,F923ST,1956,
6945,IA,University of Iowa Main Power Plant,54775,GEN6,5,OP,ST,BIT,15,0.043805175,5756.0,0.0,F923ST,1974,
6949,IA,University of Northern Iowa,50088,GEN1,0,OP,ST,BIT,7.5,0.186377473,12245.0,0.0,F923NONK,1982,
6950,IA,Victory Wind Farm,56379,VWF,0,OP,WT,WND,99,0.447545086,388129.0,0.0,F923NONK,2006,
6951,IA,Vienna Wind Farm,57874,VIWF,0,OP,WT,WND,103,0.034194485,30853.0,0.0,F923NONK,2012,
6965,IA,Walnut Wind Farm,56811,WWF,0,OP,WT,WND,153,0.381848569,511784.0,0.0,F923NONK,2008,
6966,IA,Walter Scott Jr Energy Center,1082,1,1,OP,ST,SUB,49,0.410257665,176099.0,0.0,F923ST,1954,
6967,IA,Walter Scott Jr Energy Center,1082,2,1,OP,ST,SUB,81.6,0.59017985,421870.0,0.0,F923ST,1958,
6968,IA,Walter Scott Jr Energy Center,1082,3,1,OP,ST,SUB,725.8,0.79164968,5033315.0,0.0,F923ST,1978,
6969,IA,Walter Scott Jr Energy Center,1082,4,1,OP,ST,SUB,922.5,0.726742028,5872875.0,0.0,F923ST,2007,
6988,IA,Webster City,1198,6,0,SB,GT,DFO,21.3,0.000273329,51.0,0.0,F923NONK,1972,
7000,IA,West Receiving,7853,1,0,OP,IC,DFO,2,0.000342466,6.0,0.0,F923NONK,1998,
7001,IA,Whispering Willow Wind Farm - East,56355,1,0,OP,WT,WND,199.7,0.330990207,579025.0,0.0,F923NONK,2009,
7012,IA,Windwalkers LLC,58071,1,0,OP,WT,WND,1.6,0.371646689,5209.0,0.0,F923NONK,2011,
7013,IA,Winnebago Wind Power Project,56764,1,0,OP,WT,WND,20,0.381044521,66759.0,0.0,F923NONK,2008,
7021,IA,Wolverine,57631,1,0,OP,WT,WND,1.5,0.45152207,5933.0,0.0,F923NONK,2010,
7029,ID,Amalgamated Sugar Twin Falls,10504,1500,2,OP,ST,BIT,1.5,0.57716895,7584.0,0.0,F923ST,1948,
7030,ID,Amalgamated Sugar Twin Falls,10504,2500,2,OP,ST,BIT,2.5,0.792968037,17366.0,0.0,F923ST,1948,
7031,ID,Amalgamated Sugar Twin Falls,10504,4000,1,OP,ST,BIT,6.2,0.480575195,26101.0,0.0,F923ST,1994,
7043,ID,Barber Dam,10735,GEN1,0,OP,HY,WAT,4.1,0.409371868,14703.0,0.0,F923NONK,1990,
7044,ID,Bennett Creek Windfarm LLC,56637,1,0,OP,WT,WND,21,0.262426614,48276.0,0.0,F923NONK,2008,
7050,ID,Birch Creek Power,10140,GEN1,0,OP,HY,WAT,2.6,0.674481911,15362.0,0.0,F923NONK,1986,
7054,ID,Blind Canyon Hydro,54514,1,0,OP,HY,WAT,1.3,0.391815947,4462.0,0.0,F923NONK,1992,
7070,ID,Burley Butte Windpark,56434,BBWP,0,OP,WT,WND,13.5,0.507060714,59965.0,0.0,F923NONK,2011,
7081,ID,Camp Reed,57125,CRWP,0,OP,WT,WND,22.5,0.176179604,34725.0,0.0,F923NONK,2010,
7091,ID,Cassia Gulch Wind Park LLC,56935,1,0,OP,WT,WND,18.9,0.272033775,45039.0,0.0,F923NONK,2009,
7092,ID,Cassia Wind Farm LLC,56934,1,0,OP,WT,WND,10.5,0.26008915,23923.0,0.0,F923NONK,2009,
7097,ID,City Power Plant,841,3,0,OP,HY,WAT,8,0.803424658,56304.0,0.0,F923NONK,1982,
7098,ID,Clear Lake,814,1,0,OP,HY,WAT,2.5,0.770913242,16883.0,0.0,F923NONK,1937,
7101,ID,Clearwater Paper IPP Lewiston,50637,GEN3,2,OP,ST,BLQ,28.8,0.868095193,219010.0,0.0,F923ST,1981,
7102,ID,Clearwater Paper IPP Lewiston,50637,GEN4,2,OP,ST,BLQ,65,0.355721812,202548.0,0.0,F923ST,1991,
7103,ID,Cold Springs Windfarm,57431,1,0,OP,WT,WND,23,0.061996228,12491.0,0.0,F923NONK,2012,
7107,ID,Crystal Springs,10806,GEN1,0,OP,HY,WAT,2.3,0.550277943,11087.0,0.0,F923NONK,1988,
7109,ID,Desert Meadow Windfarm,57430,1,0,OP,WT,WND,23,0.082315863,16585.0,0.0,F923NONK,2012,
7110,ID,Dietrich Drop,10807,GEN1,0,OP,HY,WAT,4.8,0.365891362,15385.0,0.0,F923NONK,1990,
7114,ID,Dry Creek Project,54394,GEN1,0,OP,HY,WAT,3.6,0.325596144,10268.0,0.0,F923NONK,1987,
7118,ID,El Dorado Hydro Elk Creek,50891,GEN1,0,OP,HY,WAT,2.6,0.201352301,4586.0,0.0,F923NONK,1986,
7138,ID,Fossil Gulch,56308,1,0,OP,WT,WND,10.5,0.257055882,23644.0,0.0,F923NONK,2005,
7139,ID,Gem State,790,1,0,OP,HY,WAT,23.4,0.815029466,167068.0,0.0,F923NONK,1988,
7141,ID,Golden Valley Wind Park LLC,56435,GVWP,0,OP,WT,WND,12,0.327606545,34438.0,0.0,F923NONK,2011,
7142,ID,Goshen Phase II,57211,1,0,OP,WT,WND,124.5,0.332257798,362367.0,0.0,F923NONK,2010,
7147,ID,Hammett Hill Windfarm,57428,1,0,OP,WT,WND,23,0.081948581,16511.0,0.0,F923NONK,2012,
7152,ID,High Mesa Energy LLC,58019,1,0,OP,WT,WND,40,0.008427511,2953.0,0.0,F923NONK,2012,
7153,ID,"Horse Butte Wind I, LLC",57890,1,0,OP,WT,WND,57.6,0.119395294,60244.0,0.0,F923NONK,2012,
7156,ID,Hot Springs Windfarm LLC,56636,1,0,OP,WT,WND,21,0.250630572,46106.0,0.0,F923NONK,2008,
7173,ID,Langley Gulch Power Plant,57028,GTG,0,OP,CT,NG,187,0.259604302,425263.0,0.0,F923NONK,2012,
7178,ID,Lateral 10 Ventures,54753,GEN1,0,OP,HY,WAT,2.4,0.264970034,5570.7,0.0,F923NONK,1984,
7184,ID,Little Wood Hydro Project,54386,GEN1,0,SB,HY,WAT,2.8,0.266593281,6539.0,0.0,F923NONK,1985,
7185,ID,Low Line Rapids,10808,GEN1,0,OP,HY,WAT,2.8,0.349641226,8576.0,0.0,F923NONK,1990,
7186,ID,Lower Malad,815,1,0,OP,HY,WAT,13.5,0.895484526,105900.0,0.0,F923NONK,1948,
7187,ID,Lower No 1,7012,2,0,OP,HY,WAT,8,0.787913813,55217.0,0.0,F923NONK,1982,
7199,ID,Mainline Windfarm,57429,1,0,OP,WT,WND,23,0.095081398,19157.0,0.0,F923NONK,2012,
7204,ID,Marsh Valley Development,50972,1,0,OP,HY,WAT,1.6,0.362656963,5083.0,0.0,F923NONK,1993,
7205,ID,Meadow Creek Project Company,58106,MCPC,0,OP,WT,WND,119.7,0.023821922,24979.0,0.0,F923NONK,2012,
7208,ID,Milner Dam Wind Park LLC,56437,MDWP,0,OP,WT,WND,19.5,0.319564454,54588.0,0.0,F923NONK,2011,
7216,ID,Mink Creek Hydro,10325,GEN1,0,OP,HY,WAT,3.1,0.314479305,8540.0,0.0,F923NONK,1986,
7217,ID,Mora Drop Hydroelectric Project,56498,1,0,OP,HY,WAT,1.7,0.338638195,5043.0,0.0,F923NONK,2006,
7222,ID,Notch Butte Hydro,50718,HYD1,0,OP,HY,WAT,1,0.477054795,4179.0,0.0,F923NONK,1986,
7227,ID,Oregon Trail Wind Park,56439,OTWP,0,OP,WT,WND,13.5,0.30944529,36595.0,0.0,F923NONK,2011,
7232,ID,Payne's Ferry,57124,PFWP,0,OP,WT,WND,21,0.336252446,61857.0,0.0,F923NONK,2010,
7233,ID,Pilgrim Stage Wind Park,56440,PSWP,0,OP,WT,WND,10.5,0.353185475,32486.0,0.0,F923NONK,2011,
7234,ID,Plummer Cogen,55090,GEN1,0,OP,ST,WDS,6.2,0.650703344,35341.0,0.0,F923NONK,1982,
7241,ID,Power County Wind Park North,57761,PCWPN,0,OP,WT,WND,22.5,0.36108067,71169.0,0.0,F923NONK,2011,
7242,ID,Power County Wind Park South,57760,PCWPS,0,OP,WT,WND,22.5,0.324459665,63951.0,0.0,F923NONK,2011,
7247,ID,Rathdrum Power LLC,55179,CTG1,0,OP,CT,NG,179.4,0.49459767,777282.0,0.0,F923NONK,2001,
7248,ID,Rathdrum Power LLC,55179,STG1,1,OP,CA,NG,122.1,0.408917947,437377.0,0.0,F923ST,2001,
7251,ID,Rock Creek I,50987,GEN1,0,OP,HY,WAT,2.1,0.540769733,9948.0,0.0,F923NONK,1983,
7252,ID,Rock Creek II,10809,GEN1,0,OP,HY,WAT,1.9,0.400925258,6673.0,0.0,F923NONK,1990,
7253,ID,Rockland Wind Farm,57766,RLWF,0,OP,WT,WND,79.2,0.353058294,244949.0,0.0,F923NONK,2011,
7255,ID,Rupert Cogen Project,54579,1002,0,OP,CS,NG,10.4,0.839809449,76510.0,0.0,F923NONK,1996,
7256,ID,Ryegrass Windfarm,57427,1,0,OP,WT,WND,23,0.06586758,13271.0,0.0,F923NONK,2012,
7263,ID,Salmon Falls Wind Park,56441,SFWP,0,OP,WT,WND,21,0.337491846,62085.0,0.0,F923NONK,2011,
7264,ID,Sawtooth Wind Project,57749,ST,0,OP,WT,WND,22.4,0.307943982,60426.0,0.0,F923NONK,2011,
7268,ID,Simplot Leasing Don Plant,50274,GEN1,1,OP,ST,OTH,15.9,0.497250007,69259.0,0.0,F923NONK,1986,
7278,ID,Tamarack Energy Partnership,50099,GEN1,0,OP,ST,WDS,6.2,0.6636839,36046.0,0.0,F923NONK,1983,
7282,ID,Thousand Springs Wind Park,56442,TSWP,0,OP,WT,WND,12,0.311558219,32751.0,0.0,F923NONK,2011,
7283,ID,Tuana Gulch Wind Park,56443,TGWP,0,OP,WT,WND,10.5,0.317960426,29246.0,0.0,F923NONK,2011,
7284,ID,Tuana Springs,57136,1,0,OP,WT,WND,16.8,0.248274081,36538.0,0.0,F923NONK,2010,
7287,ID,Two Ponds Windfarm,57444,1,0,OP,WT,WND,23,0.089254517,17983.0,0.0,F923NONK,2012,
7288,ID,Upper Malad,823,1,0,OP,HY,WAT,8.3,0.845367772,61465.0,0.0,F923NONK,1948,
7289,ID,Upper Power Plant,844,4,0,OP,HY,WAT,8,0.832091895,58313.0,0.0,F923NONK,1982,
7296,ID,Wolverine Creek,56301,1,0,OP,WT,WND,64.5,0.315790591,178428.0,0.0,F923NONK,2006,
7297,ID,Yahoo Creek,57126,YCWP,0,OP,WT,WND,21,0.341557947,62833.0,0.0,F923NONK,2010,
7298,IL,1515 S Caron Road,7770,GT1,0,OP,GT,NG,4.2,0.004892368,180.0,0.0,F923NONK,2000,
7299,IL,Adkins Energy LLC,58136,S5MW,0,OP,GT,NG,5,0.348123744,15247.8,0.0,F923NONK,2002,
7300,IL,Agriwind LLC,56408,AWND1,0,OP,WT,WND,8.4,0.250258208,18415.0,0.0,F923NONK,2007,
7310,IL,Archer Daniels Midland Decatur,10865,GEN2,9,OP,ST,BIT,31,0.159250258,43246.0,0.0,F923ST,1987,
7311,IL,Archer Daniels Midland Decatur,10865,GEN3,9,OP,ST,BIT,31,0.369896156,100449.0,0.0,F923ST,1987,
7312,IL,Archer Daniels Midland Decatur,10865,GEN4,9,OP,ST,BIT,31,0.209625865,56926.0,0.0,F923ST,1987,
7313,IL,Archer Daniels Midland Decatur,10865,GEN5,9,OP,ST,BIT,31,0.368806157,100153.0,0.0,F923ST,1987,
7314,IL,Archer Daniels Midland Decatur,10865,GEN6,9,OP,ST,BIT,31,0.294844602,80068.0,0.0,F923ST,1994,
7315,IL,Archer Daniels Midland Decatur,10865,GEN7,9,OP,ST,BIT,75,0.655473364,430646.0,0.0,F923ST,1997,
7316,IL,Archer Daniels Midland Decatur,10865,GEN8,9,OP,ST,BIT,105,0.376712329,346500.0,0.0,F923ST,2005,
7317,IL,Archer Daniels Midland Peoria,10866,GEN1,10,OP,ST,BIT,1.5,0.95585997,12560.0,0.0,F923ST,1934,
7321,IL,Archer Daniels Midland Peoria,10866,GEN5,10,OP,ST,BIT,4,0.083704338,2933.0,0.0,F923ST,1985,
7341,IL,Baldwin Energy Complex,889,1,1,OP,ST,SUB,625.1,0.731618101,4006250.0,0.0,F923ST,1970,
7342,IL,Baldwin Energy Complex,889,2,1,OP,ST,SUB,634.5,0.686032939,3813122.0,0.0,F923ST,1973,
7343,IL,Baldwin Energy Complex,889,3,1,OP,ST,SUB,634.5,0.803518932,4466135.0,0.0,F923ST,1975,
7347,IL,Big Sky Wind LLC,57135,1,0,OP,WT,WND,240,0.233813737,491570.0,0.0,F923NONK,2011,
7369,IL,Bishop Hill Energy LLC,57463,1,0,OP,WT,WND,200,0.148069635,259418.0,0.0,F923NONK,2012,
7370,IL,Bishop Hill II Wind Farm,58111,1,0,OP,WT,WND,81,0.070749479,50201.0,0.0,F923NONK,2012,
7373,IL,Blackstone Wind Farm II LLC,57113,GEN1,0,OP,WT,WND,200,0.290476598,508915.0,0.0,F923NONK,2010,
7376,IL,Blackstone Wind Farm LLC,57110,GEN1,0,OP,WT,WND,102,0.297766138,266060.0,0.0,F923NONK,2009,
7385,IL,BNWRD,56176,1,0,SB,IC,DFO,2,0.000570776,10.0,0.0,F923NONK,2000,
7386,IL,BP Naperville Cogeneration Facility,50722,GEN1,0,OP,GT,NG,8.3,0.616740936,44842.0,0.0,F923NONK,1990,
7387,IL,Braidwood Generation Station,6022,1,1,OP,ST,NUC,1224.9,0.874959227,9388421.0,0.0,F923NK,1988,
7388,IL,Braidwood Generation Station,6022,2,1,OP,ST,NUC,1224.9,0.877707751,9417913.0,0.0,F923NK,1988,
7400,IL,Brown County Wind Turbine,57767,1,0,OP,WT,WND,1.5,0.264307458,3473.0,0.0,F923NONK,2011,
7409,IL,Byron Generating Station,6023,1,1,OP,ST,NUC,1224.9,0.831776501,8925065.0,0.0,F923NK,1985,
7410,IL,Byron Generating Station,6023,2,1,OP,ST,NUC,1224.9,0.87540582,9393213.0,0.0,F923NK,1987,
7411,IL,California Ridge Wind Energy LLC,58008,CR,0,OP,WT,WND,217,0.034294973,65192.0,0.0,F923NONK,2012,
7429,IL,Camp Grove Wind Farm,56640,1,0,OP,WT,WND,150,0.325585236,427819.0,0.0,F923NONK,2007,
7449,IL,Clinton Power Station,204,1,1,OP,ST,NUC,1138.3,0.940050993,9373726.0,0.0,F923NK,1987,
7450,IL,Coffeen,861,1,1,OP,ST,SUB,388.9,0.508693881,1733000.0,0.0,F923ST,1965,
7451,IL,Coffeen,861,2,1,OP,ST,SUB,616.5,0.616100612,3327276.0,0.0,F923ST,1972,
7459,IL,Cordova Energy,55188,PT31,2,OP,CA,NG,191.2,0.000823327,1379.0,0.0,F923ST,2001,
7482,IL,Crawford,867,7,1,RE,ST,SUB,239.3,0.241886057,507058.0,0.0,F923ST,1958,
7483,IL,Crawford,867,8,1,RE,ST,SUB,358.1,0.23899347,749712.0,0.0,F923ST,1961,
7484,IL,Crescent Ridge,56297,1,0,OP,WT,WND,53,0.3280865,152324.0,0.0,F923NONK,2005,
7490,IL,CSL Behring LLC,54790,GEN1,0,OP,GT,NG,4.2,0.874537943,32176.0,0.0,F923NONK,1993,
7491,IL,Dallman,963,1,1,OP,ST,BIT,90.2,0.167903138,132669.0,0.0,F923ST,1968,
7492,IL,Dallman,963,2,1,OP,ST,BIT,90.2,0.163028126,128817.0,0.0,F923ST,1972,
7493,IL,Dallman,963,3,1,OP,ST,BIT,207.3,0.448940168,815252.0,0.0,F923ST,1978,
7494,IL,Dallman,963,4,1,OP,ST,BIT,280,0.357528539,876946.0,0.0,F923ST,2009,
7514,IL,Dresden Generating Station,869,2,1,OP,ST,NUC,1009.3,0.894825384,7911570.0,0.0,F923NK,1970,
7515,IL,Dresden Generating Station,869,3,1,OP,ST,NUC,1009.3,0.779330989,6890430.0,0.0,F923NK,1971,
7516,IL,Duck Creek,6016,1,1,OP,ST,SUB,441,0.729507968,2818206.0,0.0,F923ST,1976,
7517,IL,E D Edwards,856,1,1,OP,ST,SUB,136,0.593982507,707647.0,0.0,F923ST,1960,
7518,IL,E D Edwards,856,2,1,OP,ST,SUB,280.5,0.728002833,1788834.0,0.0,F923ST,1968,
7519,IL,E D Edwards,856,3,1,OP,ST,SUB,363.8,0.597775322,1905043.0,0.0,F923ST,1972,
7520,IL,EcoGrove Wind LLC,56805,1,0,OP,WT,WND,100.5,0.278932961,245567.0,0.0,F923NONK,2009,
7562,IL,Exelon Solar Chicago,57191,ECS1,0,OP,PV,SUN,9,0.191273465,15080.0,0.0,F923NONK,2009,
7563,IL,ExxonMobil Oil Joliet Refinery,50627,GTG1,0,OP,GT,OG,21.9,0.588253373,112852.9,0.0,F923NONK,1987,
7564,IL,ExxonMobil Oil Joliet Refinery,50627,MG,4,OP,ST,OG,11.2,0.435624592,42740.0,0.0,F923ST,1986,
7566,IL,Factory,8016,1,0,OP,GT,DFO,26.6,0.002716552,633.0,0.0,F923NONK,1973,
7576,IL,Fisk Street,886,19,1,RE,ST,SUB,374,0.27183326,890591.0,0.0,F923ST,1968,
7596,IL,FPL Energy Illinois Wind LLC,57325,GE1.5,0,OP,WT,WND,217.5,0.349685614,666256.0,0.0,F923NONK,2009,
7608,IL,Freedom Power Project,7842,CT1,0,OP,GT,NG,71,0.008802817,5475.0,0.0,F923NONK,2000,
7646,IL,Grand Ridge Solar Farm,57912,1,0,OP,PV,SUN,20,0.088909817,15577.0,0.0,F923NONK,2012,
7655,IL,Granite City Works,57072,G-1,1,OP,ST,BFG,78,0.266258342,181929.0,0.0,F923ST,2010,
7659,IL,GSG LLC,56450,1,0,OP,WT,WND,80,0.26142266,183205.0,0.0,F923NONK,2007,
7673,IL,Havana,891,6,1,OP,ST,SUB,488,0.631064264,2697724.0,0.0,F923ST,1978,
7674,IL,Hennepin Power Station,892,1,1,OP,ST,SUB,75,0.720383562,473292.0,0.0,F923ST,1953,
7675,IL,Hennepin Power Station,892,2,1,OP,ST,SUB,231.3,0.824918517,1671440.0,0.0,F923ST,1959,
7676,IL,High Trail Wind Farm LLC,56338,1,0,OP,WT,WND,198,0.339948572,589634.0,0.0,F923NONK,2007,
7695,IL,Holland Energy Facility,55334,STG1,2,OP,CA,NG,345.1,0.127406985,385161.0,0.0,F923ST,2002,
7724,IL,Ingredion Illinois,54556,TGO1,7,OP,ST,BIT,22.5,0.763028919,150393.0,0.0,F923ST,1991,
7725,IL,Ingredion Illinois,54556,TGO2,7,OP,ST,BIT,22.5,0.710350076,140010.0,0.0,F923ST,1991,
7726,IL,Interstate,7425,1,0,OP,GT,NG,138.6,0.006276892,7621.0,0.0,F923NONK,1997,
7736,IL,Joliet 29,384,7,2,OP,ST,SUB,660,0.441269891,2551246.0,0.0,F923ST,1965,
7737,IL,Joliet 29,384,8,2,OP,ST,SUB,660,0.447283278,2586013.0,0.0,F923ST,1966,
7746,IL,Joliet 9,874,6,1,OP,ST,SUB,360.4,0.287336749,907152.0,0.0,F923ST,1959,
7747,IL,Joppa Steam,887,1,1,OP,ST,SUB,183.3,0.729092089,1170709.0,0.0,F923ST,1953,
7748,IL,Joppa Steam,887,2,1,OP,ST,SUB,183.3,0.713564982,1145777.0,0.0,F923ST,1953,
7749,IL,Joppa Steam,887,3,1,OP,ST,SUB,183.3,0.636503025,1022038.0,0.0,F923ST,1954,
7750,IL,Joppa Steam,887,4,1,OP,ST,SUB,183.3,0.711199047,1141978.0,0.0,F923ST,1954,
7751,IL,Joppa Steam,887,5,1,OP,ST,SUB,183.3,0.58943656,946463.0,0.0,F923ST,1955,
7752,IL,Joppa Steam,887,6,1,OP,ST,SUB,183.3,0.661452144,1062099.0,0.0,F923ST,1955,
7762,IL,Kendall County Generation Facility,55131,STG1,1,OP,CA,NG,134,0.328015743,385038.0,0.0,F923ST,2002,
7763,IL,Kendall County Generation Facility,55131,STG2,1,OP,CA,NG,134,0.359896579,422461.0,0.0,F923ST,2002,
7764,IL,Kendall County Generation Facility,55131,STG3,1,OP,CA,NG,134,0.387349213,454686.0,0.0,F923ST,2002,
7765,IL,Kendall County Generation Facility,55131,STG4,1,OP,CA,NG,134,0.372337797,437065.0,0.0,F923ST,2002,
7774,IL,Kincaid Generation LLC,876,1,1,OP,ST,SUB,659.5,0.490756973,2835211.0,0.0,F923ST,1967,
7775,IL,Kincaid Generation LLC,876,2,1,OP,ST,SUB,659.5,0.39937894,2307300.0,0.0,F923ST,1968,
7792,IL,LaSalle Generating Station,6026,1,1,OP,ST,NUC,1170,0.924094466,9471229.0,0.0,F923NK,1984,
7793,IL,LaSalle Generating Station,6026,2,1,OP,ST,NUC,1170,0.987761972,10123770.0,0.0,F923NK,1984,
7812,IL,Little Company of Mary Hospital,10400,GEN1,0,RE,GT,NG,3.8,0.232988464,7755.7,0.0,F923NONK,1989,
7831,IL,Mallard Lake Electric,55592,4,3,OP,CA,LFG,10,0.297100457,26026.0,0.0,F923ST,1997,
7832,IL,Marion,976,1,1,OP,ST,BIT,33,0.812411789,234852.0,0.0,F923ST,1963,
7833,IL,Marion,976,2,1,OP,ST,BIT,33,0.819634703,236940.0,0.0,F923ST,1963,
7834,IL,Marion,976,3,1,OP,ST,BIT,33,0.829877543,239901.0,0.0,F923ST,1963,
7835,IL,Marion,976,4,1,OP,ST,BIT,173,0.671982474,1018376.0,0.0,F923ST,1978,
7838,IL,Mars Snackfood US,54855,1,0,OP,GT,NG,3.5,0.822931507,25231.1,0.0,F923NONK,1987,
7857,IL,"Mendota Hills, LLC",56160,GEN1,0,OP,WT,WND,50.4,0.220195061,97217.0,0.0,F923NONK,2003,
7870,IL,Minonk Wind Farm,57284,1,0,OP,WT,WND,200,0.046735731,81881.0,0.0,F923NONK,2012,
7879,IL,Mondelez Global LLC,54933,GEN1,0,OP,GT,NG,4.7,0.051394151,2116.0,0.0,F923NONK,1995,
7884,IL,Morris Cogeneration LLC,55216,STG1,3,OP,CA,NG,62,0.149836132,81379.0,0.0,F923ST,2000,
7899,IL,Nalco,50326,AT1,0,OP,CT,NG,4,0.412554509,14455.9,0.0,F923NONK,1985,
7900,IL,Nalco,50326,DPOX,0,OP,CA,NG,0.7,0.13714775,841.0,0.0,F923NONK,1985,
7901,IL,Newton,6017,1,1,OP,ST,SUB,617.4,0.632074704,3418528.0,0.0,F923ST,1977,
7902,IL,Newton,6017,2,1,OP,ST,SUB,617.4,0.388825469,2102933.0,0.0,F923ST,1982,
7920,IL,NRG Rockford II Energy Center,55936,GT3,0,OP,GT,NG,168,0.025975756,38228.0,0.0,F923NONK,2002,
7925,IL,Old Trail Wind Farm,56614,2,0,OP,WT,WND,198,0.348747751,604896.0,0.0,F923NONK,2007,
7931,IL,Pearl Station,6238,1,1,RE,ST,BIT,22,0.020511623,3953.0,0.0,F923ST,1967,
7932,IL,Pearl Station,6238,GT1,0,SB,GT,DFO,24,0.001208143,254.0,0.0,F923NONK,1973,
7954,IL,Pike County Wind Power,56376,WTG1,0,OP,WT,WND,1.7,0.238651625,3554.0,0.0,F923NONK,2005,
7963,IL,"Pioneer Trail Wind Farm, LLC",57675,PTWF,0,OP,WT,WND,150.4,0.313454836,412978.0,0.0,F923NONK,2011,
7969,IL,Powerton,879,5,2,OP,ST,SUB,892.8,0.531817452,4159306.0,0.0,F923ST,1972,
7970,IL,Powerton,879,6,2,OP,ST,SUB,892.8,0.512379733,4007285.0,0.0,F923ST,1975,
7976,IL,Prairie State Generatng Station,55856,PC1,1,OP,ST,BIT,883,0.313298634,2423390.0,0.0,F923ST,2012,
7977,IL,Prairie State Generatng Station,55856,PC2,1,OP,ST,BIT,883,0.108661707,840507.0,0.0,F923ST,2012,
7989,IL,Providence Heights Wind LLC,56622,1,0,OP,WT,WND,72,0.260083714,164040.0,0.0,F923NONK,2008,
7992,IL,Quad Cities Generating Station,880,1,1,OP,ST,NUC,1009.3,0.919576817,8130409.0,0.0,F923NK,1972,
7993,IL,Quad Cities Generating Station,880,2,1,OP,ST,NUC,1009.3,0.834201176,7375563.0,0.0,F923NK,1972,
7998,IL,Rail Splitter Wind Farm,56856,GEN1,0,OP,WT,WND,100.5,0.347320475,305774.0,0.0,F923NONK,2009,
8022,IL,Reynolds,965,1,0,OP,GT,DFO,17.5,0.001806915,277.0,0.0,F923NONK,1970,
8023,IL,Riveside Resource Recovery LLC,55767,RO1,0,RE,IC,LFG,1.1,0.684101287,6592.0,0.0,F923NONK,1997,
8064,IL,Settlers Trail Wind Farm LLC,57493,STWF,0,OP,WT,WND,150.4,0.22894959,301642.0,0.0,F923NONK,2011,
8065,IL,Shady Oaks Wind Farm,57964,1,0,OP,WT,WND,109.5,0.174052876,166955.0,0.0,F923NONK,2012,
8069,IL,SIUC,57928,GEN5,0,OP,ST,BIT,3.5,0.540175473,16561.8,0.0,F923NONK,1998,
8092,IL,Streator Cayuga Ridge South,57094,1,0,OP,WT,WND,300,0.325886986,856431.0,0.0,F923NONK,2010,
8093,IL,Streator Energy Partners LLC,55760,ST1,0,OP,IC,LFG,1.1,0.697799917,6724.0,0.0,F923NONK,1999,
8107,IL,Tate & Lyle Decatur Plant Cogen,10867,GEN1,2,OP,ST,BIT,62,0.44411364,241207.0,0.0,F923ST,1989,
8125,IL,Tuscola Station,55245,TG1,3,OP,ST,BIT,6,0.255079909,13407.0,0.0,F923ST,1953,
8126,IL,Tuscola Station,55245,TG2,3,OP,ST,BIT,6,0.261377473,13738.0,0.0,F923ST,1953,
8127,IL,Tuscola Station,55245,TG3,3,OP,ST,BIT,6,0.369767884,19435.0,0.0,F923ST,2001,
8128,IL,University of Illinois Abbott Power Plt,54780,T1,9,OP,ST,NG,3,0.041362253,1087.0,0.0,F923ST,1940,
8129,IL,University of Illinois Abbott Power Plt,54780,T10,6,OP,ST,BIT,12.5,0.001378995,151.0,0.0,F923ST,2004,
8131,IL,University of Illinois Abbott Power Plt,54780,T12,6,OP,ST,BIT,7,0.401891716,24644.0,0.0,F923ST,2004,
8132,IL,University of Illinois Abbott Power Plt,54780,T2,9,OP,ST,NG,3,0.212214612,5577.0,0.0,F923ST,1940,
8136,IL,University of Illinois Abbott Power Plt,54780,T6,6,OP,ST,BIT,7.5,0.211232877,13878.0,0.0,F923ST,1959,
8137,IL,University of Illinois Abbott Power Plt,54780,T7,6,OP,ST,BIT,7.5,0.300152207,19720.0,0.0,F923ST,1962,
8203,IL,Waukegan,883,7,1,OP,ST,SUB,326.4,0.580733713,1660471.0,0.0,F923ST,1958,
8204,IL,Waukegan,883,8,1,OP,ST,SUB,355.3,0.531402815,1653953.0,0.0,F923ST,1962,
8213,IL,White Oak Energy LLC,57342,1,0,OP,WT,WND,150,0.374355403,491903.0,0.0,F923NONK,2011,
8216,IL,Will County,884,3,1,OP,ST,SUB,299.2,0.384626126,1008102.0,0.0,F923ST,1957,
8217,IL,Will County,884,4,1,OP,ST,SUB,598.4,0.425812822,2232104.0,0.0,F923ST,1963,
