plant_st,plant_name,fac_code,prim_mov,prim_fuel,tot_MW,cf,tot_MWh,nox_rate,so2_rate,co2_rate,ch4_rate,n2o_rate,co2eq_rate
NY,Tannery Island Power,50416,ADD,WAT,1.5,0.59,7738,0,0,0,0,0,0
NY,Taylorville,2617,ADD,WAT,4,0.58,20167,0,0,0,0,0,0
NY,TBE-Montgomery LLC,57472,ADD,OBG,21,0,0,0,0,0,0,0,0
NY,Theresa Plant,10539,ADD,WAT,1.3,0.57,6465,0,0,0,0,0,0
NY,Ticonderoga Mill,54099,ADD,BLQ,42.1,0.53,197203.17,2.26,8.68,1159.02,73.01,48.47,1175.58
NY,Trenton Falls,2619,ADD,WAT,21.9,0.67,128510,0,0,0,0,0,0
NY,Union Falls,50176,ADD,WAT,2.6,0.57,12932,0,0,0,0,0,0
NY,Unionville Hydro Project 2499 NY,50269,ADD,WAT,3,0.5,13038,0,0,0,0,0,0
NY,University of Rochester,58157,ADD,NG,25.4,0.18,40844.76,3.62,0.19,6485.11,129.07,12.93,6491.83
NY,Upper Mechanicville,625,ADD,WAT,16.4,0.55,79541,0,0,0,0,0,0
NY,US Gypsum Oakfield,50203,ADD,NG,5.8,0.43,21737.38,0.49,0.02,620.74,12.35,1.24,621.39
NY,Valley Falls Hydroelectric Facility,50034,ADD,WAT,2.5,0.32,7053,0,0,0,0,0,0
NY,Varick,2621,ADD,WAT,8,0.3,21357,0,0,0,0,0,0
NY,Vernon Boulevard,7909,ADD,NG,94,0.09,71358,0.11,0.01,1179.3,23.08,2.31,1180.5
NY,Victory Mills,10902,ADD,WAT,1.7,0.36,5406,0,0,0,0,0,0
NY,Vischer Ferry,2686,ADD,WAT,11.6,0.46,46483,0,0,0,0,0,0
NY,Wading River,7146,ADD,DFO,238.5,0.03,53278,2.69,3.26,2235.03,96.1,19.23,2243.01
NY,Walden,10848,ADD,WAT,2.4,0.25,5300,0,0,0,0,0,0
NY,Wappinger Falls Hydroelectric,54573,ADD,WAT,2,0.4,7050,0,0,0,0,0,0
NY,Warrensburg Hydroelectric,10218,ADD,WAT,2.9,0.47,11994,0,0,0,0,0,0
NY,Waste Management Madison County LFGTE,57021,ADD,LFG,1.6,0.44,6228,0,0,0,0,0,0
NY,Watchtower Educational Center,55619,ADD,,2.1,0,0,0,0,0,0,0,0
NY,Waterport,2623,ADD,WAT,4,0.3,10608,0,0,0,0,0,0
NY,Waterside,2502,ADD,RFO,199.8,0,0,0,0,0,0,0,0
NY,Watertown,2700,ADD,WAT,8.1,0.21,15084,0,0,0,0,0,0
NY,West Babylon,2521,ADD,DFO,52.4,0,1688,9.92,4.39,2588.74,111.49,22.3,2598
NY,West Coxsackie,2487,ADD,NG,21.6,0,6,1.58,0.06,2006.58,39.93,4,2008.65
NY,West Delaware Tunnel Plant,51033,ADD,WAT,7.5,0.58,38059,0,0,0,0,0,0
NY,West End Dam Hydroelectric Project,50759,ADD,WAT,4.4,0.51,19511,0,0,0,0,0,0
NY,Wethersfield Wind Farm,55368,ADD,WND,6.6,0.21,12019,0,0,0,0,0,0
NY,Wheelabrator Hudson Falls,10503,ADD,MSB,14.4,0.64,81239,2.53,21.98,1629.16,605.22,80.7,1666.89
NY,Wheelabrator Westchester,50882,ADD,MSB,59.7,0.78,409387,5.24,5.93,3352.77,1245.66,166.09,3430.41
NY,William Floyd School District,58167,ADD,NG,3.9,0.09,3073.28,3.07,0.04,1324.44,26.36,2.64,1325.82
NY,Wiscoy 170,2646,ADD,WAT,1,0,0,0,0,0,0,0,0
NY,WPS Power Niagara,50202,ADD,WDS,56,0.23,112707,2.51,6.29,1586.26,1065.22,142.03,1652.66
NY,Yaleville,2624,ADD,WAT,2,0.17,2951,0,0,0,0,0,0
NY,Zotos International WPGF,57648,ADD,WND,3.4,0.12,3692.7,0,0,0,0,0,0
