plant_st,plant_name,fac_code,prim_mov,prim_fuel,tot_MW,cf,tot_MWh,nox_rate,so2_rate,co2_rate,ch4_rate,n2o_rate,co2eq_rate
NY,Hyland LFGTE Facility,56987,ADD,LFG,4.8,0.78,32777,0,0,0,0,0,0
NY,Indeck Corinth Energy Center,50458,ADD,NG,147,0.51,655745,0.22,0,964.34,18.87,1.89,965.32
NY,Indeck Olean Energy Center,54076,ADD,NG,90.6,0.16,127364.88,0.32,0.01,1019.44,19.95,2,1020.48
NY,Indeck Oswego Energy Center,50450,ADD,NG,57.4,0.05,25266,1.14,0,934.09,18.28,1.83,935.04
NY,Indeck Silver Springs Energy Center,50449,ADD,NG,56.6,0.13,65805.77,0.85,0.01,1029.16,20.14,2.02,1030.21
NY,Indeck Yerkes Energy Center,50451,ADD,NG,59.9,0.1,53725,1.33,0.01,1068.7,20.91,2.09,1069.79
NY,Indian Point 2,2497,ADD,NUC,1299,0.7,7934995,0,0,0,0,0,0
NY,Indian Point 3,8907,ADD,NUC,1012,1.02,9002057,0,0,0,0,0,0
NY,Inghams,2579,ADD,WAT,6,0.53,27854,0,0,0,0,0,0
NY,Jamaica Bay Peaking,56141,ADD,KER,60.5,0.01,6867,2.72,0.8,1741.95,75.34,15.07,1748.2
NY,James A Fitzpatrick,6110,ADD,NUC,882,0.79,6070526,0,0,0,0,0,0
NY,Jarvis (Hinckley),808,ADD,WAT,9,0.3,23845,0,0,0,0,0,0
NY,Johnsonville,2580,ADD,WAT,4,0.1,3497,0,0,0,0,0,0
NY,Jordanville Wind Farm,56398,ADD,WND,80,0,0,0,0,0,0,0,0
NY,Joseph J Seymour Power Project,7910,ADD,NG,94,0.15,124767,0.11,0.01,1214.51,23.77,2.38,1215.75
NY,Kamargo,2581,ADD,WAT,6,0.41,21759,0,0,0,0,0,0
NY,Kennedy International Airport Cogen,54114,ADD,NG,121.2,0.63,666162,0.19,0.01,1020.56,19.97,2,1021.6
NY,Kensico,650,ADD,WAT,3,0.06,1470,0,0,0,0,0,0
NY,Kent Falls,2532,ADD,WAT,12.4,0.51,55530,0,0,0,0,0,0
NY,Keuka,2533,ADD,WAT,2,0,0,0,0,0,0,0,0
NY,Kings Falls Hydroelectric,10872,ADD,WAT,1.6,0,0,0,0,0,0,0,0
NY,Kosterville,56705,ADD,WAT,1,0.45,3969,0,0,0,0,0,0
NY,Lachute Hydro Lower,10752,ADD,WAT,3.8,0.28,9218,0,0,0,0,0,0
NY,Lachute Hydro Upper,10753,ADD,WAT,5.2,0.2,9218,0,0,0,0,0,0
NY,Lederle Laboratories,10521,ADD,NG,23.4,0.72,147211.08,0.57,0.03,920.36,18.4,1.86,921.33
NY,Lewiston Niagara,2692,ADD,WAT,240,-0.15,-320281,0,0,0,0,0,0
NY,Lighthouse Hill,2582,ADD,WAT,8,0.25,17479,0,0,0,0,0,0
NY,Little Falls Hydro,51034,ADD,WAT,13,0.38,43516,0,0,0,0,0,0
NY,Lockport Energy Associates LP,54041,ADD,NG,221.3,0.15,282046,0.89,0,816.97,15.99,1.6,817.8
NY,Long Island Solar Farm LLC,57589,ADD,SUN,31.5,0.19,52713,0,0,0,0,0,0
NY,Longfalls Facility,54548,ADD,WAT,3.3,0,18,0,0,0,0,0,0
NY,Lovett,2629,ADD,BIT,449.1,0,0,0,0,0,0,0,0
NY,Lower Saranac Hydroelectric Facility,10214,ADD,WAT,6.7,0.4,23270,0,0,0,0,0,0
NY,Lutheran Medical Center,54769,ADD,NG,1.6,0.82,11550,2.27,0.03,978.74,19.48,1.95,979.76
NY,Lyons Falls Hydroelectric,56703,ADD,WAT,5.5,0.49,23551,0,0,0,0,0,0
NY,Lyonsdale Associates,50652,ADD,WAT,3,0.4,10511,0,0,0,0,0,0
NY,MacArthur Waste to Energy Facility,51038,ADD,MSB,12.5,0.51,55765,1.83,2.5,1845.2,593.06,79.07,1882.17
NY,Macomb,2583,ADD,WAT,1,0.09,761,0,0,0,0,0,0
NY,Madison Windpower LLC,55769,ADD,WND,11.5,0.19,18831,0,0,0,0,0,0
NY,Maple Ridge Wind Farm,56290,ADD,WND,322,0.26,723940,0,0,0,0,0,0
NY,Marble River Wind Farm,56857,ADD,WND,215,0.05,85456,0,0,0,0,0,0
NY,Massena Energy Facility,54592,ADD,NG,104.1,0.01,6489,0.35,0.01,1018.65,19.93,2,1019.69
NY,Mercy Medical Center,58163,ADD,DFO,3,0,1,153,22.66,18424.07,788.51,157.75,18489.53
NY,Middle Falls Hydro,10219,ADD,WAT,2.2,0.59,11289,0,0,0,0,0,0
NY,Mill C,6486,ADD,WAT,6,0.46,24346,0,0,0,0,0,0
NY,Minetto,2586,ADD,WAT,10,0.32,27713,0,0,0,0,0,0
NY,MM Albany Energy,55155,ADD,LFG,5.9,0.49,25140,0,0,0,0,0,0
NY,Model City Energy Facility,55757,ADD,LFG,5.6,0.84,40982,0,0,0,0,0,0
NY,Modern Innovative Energy LLC,56323,ADD,LFG,6.4,0.79,44208,0,0,0,0,0,0
NY,Mongaup,2630,ADD,WAT,4,0.26,9089,0,0,0,0,0,0
NY,Monroe Community College Plant,58201,ADD,NG,6.4,0.22,12248,3.42,0.04,1476.21,29.38,2.94,1477.73
NY,Monroe Livingston Gas Recovery,50565,ADD,LFG,1.6,0.75,10458,0,0,0,0,0,0
NY,Montauk,2515,ADD,DFO,6,0.02,1296,15.66,2.36,1885.21,80.68,16.14,1891.9
NY,Montefieor Medical Center Moses Division,58507,ADD,NG,8.3,0,0,0,0,0,0,0,0
NY,Moose River,10196,ADD,WAT,12.6,0.03,3211,0,0,0,0,0,0
NY,Moshier,2588,ADD,WAT,8,0.43,29864,0,0,0,0,0,0
NY,Mt Ida Hydroelectric,50031,ADD,WAT,3,0.24,6280,0,0,0,0,0,0
NY,Munnsville Wind Farm LLC,56594,ADD,WND,34.5,0.28,84738,0,0,0,0,0,0
NY,Narrows Gas Turbines Generating,2499,ADD,NG,352,0.04,110868,1.65,0.2,1981.79,42.19,4.74,1984.15
NY,Nassau Energy Corp,52056,ADD,NG,55,0.79,379704.57,0.79,0,727.63,14.24,1.43,728.37
NY,Neversink,2483,ADD,WAT,25,0.12,25788,0,0,0,0,0,0
NY,New York Methodist Hospital,52091,ADD,NG,1.8,0.55,8730,1.61,0.02,693.28,13.8,1.38,694
NY,New York State Dam Hydro,10221,ADD,WAT,11.4,0.46,45440,0,0,0,0,0,0
NY,New York University Central Plant,54808,ADD,NG,19,0.42,70542,0.62,0.17,1289.1,28.15,3.28,1290.71
NY,Newport Hydro,50354,ADD,WAT,1.7,0.46,6887,0,0,0,0,0,0
NY,Nine Mile Point Nuclear Station,2589,ADD,NUC,1901.1,0.79,13165263,0,0,0,0,0,0
NY,Noble Altona Windpark LLC,56901,ADD,WND,97.5,0.2,172457,0,0,0,0,0,0
NY,Noble Bellmont Windpark LLC,56903,ADD,WND,21,0,0,0,0,0,0,0,0
NY,Noble Bliss Windpark LLC,56620,ADD,WND,100.5,0.22,192557,0,0,0,0,0,0
NY,Noble Chateaugay Windpark LLC,56904,ADD,WND,106.5,0.21,191750,0,0,0,0,0,0
NY,Noble Clinton Windpark LLC,56618,ADD,WND,100.5,0.19,167537,0,0,0,0,0,0
NY,Noble Ellenburg Windpark LLC,56619,ADD,WND,81,0.22,157758,0,0,0,0,0,0
NY,Noble Wethersfield Windpark LLC,56902,ADD,WND,126,0.23,249119,0,0,0,0,0,0
NY,Norfolk,2590,ADD,WAT,5,0.57,24851,0,0,0,0,0,0
NY,Normanskill Hydro Project,50123,ADD,WAT,1.2,0.19,1970,0,0,0,0,0,0
NY,North 1st,7915,ADD,NG,47,0.12,48761,0.11,0.01,1207.31,23.63,2.37,1208.54
NY,Northport,2516,ADD,NG,1564,0.24,3300679.03,0.72,0.34,1298.83,25.02,2.51,1300.13
NY,Norwood,2591,ADD,WAT,2,0.78,13588,0,0,0,0,0,0
NY,Oak Tree Farm Dairy Facility,58221,ADD,DFO,1.6,0,1,42015.97,6804.92,5059445.28,216534.32,43319.28,5077421.47
NY,OBP Cogen,57798,ADD,NG,4.6,0.66,26717,1.04,0.04,1321.92,26.31,2.64,1323.29
NY,Oceanside Energy,50348,ADD,LFG,4.2,0,0,0,0,0,0,0,0
NY,Ogdensburg,52058,ADD,WAT,3.5,0.3,9224,0,0,0,0,0,0
NY,Ogdensburg Power,10803,ADD,NG,99.3,0,0,0,0,0,0,0,0
NY,Oneida Herkimer,57404,ADD,LFG,1.6,0.59,8287,0,0,0,0,0,0
NY,Onondaga County Resource Recovery,50662,ADD,MSB,39.5,0.58,199392,5.09,41.81,3099.62,1196.12,159.48,3174.18
NY,Onondaga Energy Partners LP,50346,ADD,LFG,0.7,0,0,0,0,0,0,0,0
NY,Ontario LFGTE,56250,ADD,LFG,11.2,0.53,51853,0,0,0,0,0,0
NY,Oswego County Energy Recovery,50907,ADD,MSB,3.6,0.36,11244.24,5.7,16.25,1204.73,516.34,68.85,1236.91
NY,Oswego Falls East,2595,ADD,WAT,6,0.38,19942,0,0,0,0,0,0
NY,Oswego Falls West,2596,ADD,WAT,2,0.4,7061,0,0,0,0,0,0
NY,Oswego Harbor Power,2594,ADD,RFO,1803.6,0,63371,2.66,7.06,2075.62,94.61,18.93,2083.47
NY,Oyster Bay Energy Partners LP,50345,ADD,LFG,1.4,0,0,0,0,0,0,0,0
NY,Parishville,2597,ADD,WAT,3,0.49,12934,0,0,0,0,0,0
NY,Peak Power 1 Cogen,57789,ADD,NG,6.3,0.16,8615,3.09,0.04,1334.16,26.55,2.66,1335.55
NY,Philadlephia,10197,ADD,WAT,3.6,0.27,8484,0,0,0,0,0,0
NY,Phoenix Hydro Project,54865,ADD,WAT,3.4,0.31,9256,0,0,0,0,0,0
NY,Piercefield,2598,ADD,WAT,2.7,0.7,16655,0,0,0,0,0,0
NY,Pinelawn Power LLC,56188,ADD,NG,82,0.45,321826,0.07,0.01,1010.47,19.77,1.98,1011.5
NY,Plant No 1,2678,ADD,DFO,13.2,0,255,14.8,2.33,1781.98,76.27,15.26,1788.32
NY,Plant No 2,2679,ADD,NG,78.6,0.07,48604,0.15,0.01,1200.88,23.5,2.35,1202.11
NY,Port Jefferson,2517,ADD,NG,498,0.13,553650,0.49,0.35,1406.51,27.11,2.72,1407.92
NY,Port Leyden Hydroelectric Project,10817,ADD,WAT,1,0.45,3907,0,0,0,0,0,0
NY,Pouch,8053,ADD,NG,47,0.24,96847,0.1,0.01,1188.47,23.26,2.33,1189.68
NY,Prospect,2599,ADD,WAT,19,0.38,62918,0,0,0,0,0,0
NY,Pyrites Plant,10547,ADD,WAT,8.2,0.38,27494,0,0,0,0,0,0
NY,R E Ginna Nuclear Power Plant,6122,ADD,NUC,614,0.86,4601719,0,0,0,0,0,0
NY,Rainbow Falls,2600,ADD,WAT,25,0.39,85269,0,0,0,0,0,0
NY,Rainbow Falls,6526,ADD,,2.6,0,0,0,0,0,0,0,0
NY,Ravenswood,2500,ADD,NG,2625,0.19,4385965.92,0.55,0.01,927.73,18.14,1.82,928.68
NY,Raymondville,2601,ADD,WAT,2,0.74,13032,0,0,0,0,0,0
